tD,pD,dD,CD,s
166810.05372000558,6.416865848425061,0.49998812685379423,0.01,0.0
215443.46900318822,6.544786513242549,0.49998034722814405,0.01,0.0
278255.94022071204,6.67269858049562,0.49997946196095083,0.01,0.0
359381.36638046254,6.800618792334653,0.4999986361923062,0.01,0.0
464158.8833612772,6.928540670765344,0.49998494073948546,0.01,0.0
599484.2503189408,7.056453874838709,0.4999890659276724,0.01,0.0
774263.6826811262,7.1843778640686935,0.5000000769944261,0.01,0.0
1000000.0,7.312296702346096,0.49999184515461875,0.01,0.0
1291549.6650148828,7.440216479462386,0.500006006437155,0.01,0.0
1668100.5372000558,7.568142563863802,0.5000030560557043,0.01,0.0
2154434.6900318777,7.696060831312458,0.4999817065737064,0.01,0.0
2782559.402207126,7.823975991491878,0.4999944089454474,0.01,0.0
3593813.6638046256,7.951900758560939,0.5000090950798204,0.01,0.0
4641588.833612773,8.079823433423485,0.49999889788736696,0.01,0.0
5994842.503189396,8.20774298273625,0.49999465544030935,0.01,0.0
7742636.826811277,8.335663486799831,0.500001519931619,0.01,0.0
10000000.0,8.463586548573787,0.5000088864738103,0.01,0.0
12915496.650148828,8.591510821990752,0.4999894444026214,0.01,0.0
16681005.372000556,8.719423935537307,0.5000075707082308,0.01,0.0
21544346.90031878,8.847357483923403,0.5000011122969107,0.01,0.0
27825594.022071257,8.975267292794044,0.49999079593595785,0.01,0.0
35938136.63804626,9.103195562447041,0.5000140828283651,0.01,0.0
46415888.33612773,9.23111728688464,0.500003478175421,0.01,0.0
59948425.03189397,9.359040130289685,0.4999961529010857,0.01,0.0
77426368.26811247,9.486958106490064,0.4999729405502535,0.01,0.0
100000000.0,9.61486907247,0.4999988200516228,0.01,0.0
129154966.50148827,9.742800290837948,0.5000114348546665,0.01,0.0
166810053.72000557,9.870717711630647,0.49999940510625784,0.01,0.0
215443469.00318778,9.99864277454985,0.500014453969444,0.01,0.0
278255940.2207126,10.126567895628781,0.5000052789167929,0.01,0.0
359381366.3804626,10.254488263805882,0.49999878713302875,0.01,0.0
464158883.3612773,10.382410063132696,0.4999986483378367,0.01,0.0
599484250.3189397,10.510330360290297,0.4999990282737892,0.01,0.0
774263682.6811246,10.638252354024857,0.5000079349909105,0.01,0.0
1000000000.0,10.766177208621144,0.5000135260449841,0.01,0.0
0.01,0.6483618337953905,0.40317259604483746,0.01,1.0
0.01291549665014884,0.7515106348572296,0.39922625333251094,0.01,1.0
0.016681005372000592,0.8526401492743467,0.37993939276771427,0.01,1.0
0.021544346900318832,0.9459201419745957,0.3402363221189242,0.01,1.0
0.027825594022071243,1.0267341678090478,0.28796775132537983,0.01,1.0
0.03593813663804628,1.0932690867445594,0.23535753797961412,0.01,1.0
0.046415888336127774,1.1471632252480788,0.19408263391109645,0.01,1.0
0.05994842503189409,1.1925783711118285,0.17008465119887622,0.01,1.0
0.0774263682681127,1.2341930880031065,0.16212449502959242,0.01,1.0
0.1,1.2755351367705678,0.16495508675170806,0.01,1.0
0.1291549665014884,1.3185982266182226,0.17358075883675753,0.01,1.0
0.16681005372000582,1.364353907376815,0.18517162413687135,0.01,1.0
0.21544346900318834,1.4133478758144573,0.19858816519663972,0.01,1.0
0.2782559402207124,1.4659686071161087,0.2133681426559084,0.01,1.0
0.3593813663804626,1.5225252768365287,0.2292205604098587,0.01,1.0
0.46415888336127775,1.5832574616511046,0.24589500554696517,0.01,1.0
0.5994842503189409,1.6483462044396688,0.2631649319094466,0.01,1.0
0.774263682681127,1.7179151614763235,0.2808161021633584,0.01,1.0
1.0,1.7920357534872338,0.2986275592713785,0.01,1.0
1.291549665014884,1.8707185762175396,0.3163724025789546,0.01,1.0
1.6681005372000592,1.9539189486012365,0.33383140827098684,0.01,1.0
2.154434690031882,2.0415352927193133,0.35079620940942585,0.01,1.0
2.782559402207123,2.1334163091490055,0.3670787545732992,0.01,1.0
3.593813663804626,2.229364196771602,0.382508458345155,0.01,1.0
4.6415888336127775,2.329140370066714,0.39694936095005107,0.01,1.0
5.994842503189409,2.4324774592598466,0.4103015749425874,0.01,1.0
7.742636826811269,2.5390857678655543,0.4225044543746012,0.01,1.0
10.0,2.648666894452411,0.43352872739851267,0.01,1.0
12.915496650148826,2.760916164552775,0.4433656623164233,0.01,1.0
16.681005372000573,2.8755307088513504,0.45206163589736664,0.01,1.0
21.54434690031882,2.9922295832042813,0.4596683106135832,0.01,1.0
27.82559402207123,3.110736353238149,0.46625837013217003,0.01,1.0
35.93813663804626,3.230807265993178,0.4719217576763956,0.01,1.0
46.41588833612777,3.352211909745975,0.476744873420531,0.01,1.0
59.94842503189409,3.4747507412597223,0.48082384362226727,0.01,1.0
77.4263682681127,3.5982425352305825,0.48424835649197756,0.01,1.0
100.0,3.7225336405853433,0.48710853940899135,0.01,1.0
129.15496650148827,3.8474889489001924,0.4894899938019544,0.01,1.0
166.81005372000593,3.9729986101182604,0.49145231811040774,0.01,1.0
